mode,hyp,label,horizon,n,mean,win,t
cross_asset,H3a,heading NE（0-90）,3m,1077,-0.02403104112884108,0.33890436397400187,-8.220548757806032
cross_asset,H3a,heading NE（0-90）,6m,1057,-0.03710916791526448,0.35383159886471144,-9.081430546561648
cross_asset,H3b,heading SW（180-270）,1m,998,-0.0047727140171711785,0.43987975951903807,-2.664402474446086
cross_asset,H3b,heading SW（180-270）,3m,980,-0.011988939474042665,0.4306122448979592,-3.860319423035804
cross_asset,H3b,heading SW（180-270）,6m,966,-0.02712449181230457,0.37991718426501037,-6.043139481132501
cross_asset,H3,NE 均值 − SW 均值,1m,2081,-0.003125685860808509,-0.041911153794199685,-1.2572415289381638
cross_asset,H3,NE 均值 − SW 均值,3m,2057,-0.012042101654798415,-0.09170788092395732,-2.8234177781553313
cross_asset,H3,NE 均值 − SW 均值,6m,2023,-0.00998467610295991,-0.026085585400298927,-1.6449415984146714
cross_asset,H4a,远距且强(Ratio≥100)→应回落,1m,116,-0.0057451921864352575,0.39655172413793105,-1.025206119964538
cross_asset,H4b,远距且弱(Ratio<100)→应反弹,1m,168,0.00033587601559905133,0.4583333333333333,0.08642044341643693
cross_asset,H4a,远距且强(Ratio≥100)→应回落,3m,113,0.0015105144561923334,0.4336283185840708,0.1421098979485062
cross_asset,H4b,远距且弱(Ratio<100)→应反弹,3m,166,0.0016396370700962404,0.463855421686747,0.2516017682218889
cross_asset,H4a,远距且强(Ratio≥100)→应回落,6m,109,-0.018851744867880774,0.43119266055045874,-1.703163347442762
cross_asset,H4b,远距且弱(Ratio<100)→应反弹,6m,164,-0.03029080325188898,0.3170731707317073,-3.3680655195593534
cross_asset,H5a,长尾(高速度)后续超额,1m,568,-0.0020610849469554467,0.43309859154929575,-0.8403844911105961
cross_asset,H5b,短尾(低速度)后续超额,1m,571,-0.004791110051034729,0.4308231173380035,-1.9926211556946547
cross_asset,H5c,长尾|超额| − 短尾|超额|（波动差）,1m,1139,0.00046111074400281143,,
cross_asset,H5a,长尾(高速度)后续超额,3m,561,-0.005161813200118016,0.42245989304812837,-1.2406000150430392
cross_asset,H5b,短尾(低速度)后续超额,3m,569,-0.01627626799625727,0.4130052724077329,-4.31172403115601
cross_asset,H5c,长尾|超额| − 短尾|超额|（波动差）,3m,1130,0.0029406976587990907,,
cross_asset,H5a,长尾(高速度)后续超额,6m,554,-0.021209382879829403,0.40794223826714804,-3.768894015230779
cross_asset,H5b,短尾(低速度)后续超额,6m,567,-0.0308597965097591,0.36331569664902996,-6.06924103972566
cross_asset,H5c,长尾|超额| − 短尾|超额|（波动差）,6m,1121,0.0017848104723566377,,
cross_asset,H6,动量持续>100 且 Ratio<100 → 3期内 Ratio 上穿100,3m,920,0.10217391304347827,0.10217391304347827,
cross_asset,H6b,对照：动量未持续且 Ratio<100 → 3期内上穿,3m,861,0.06504065040650407,0.06504065040650407,
