index,date,a,b,diff_pct
180,2019-11-01,10016892205247.730469,55144000244.140633,18064.972002
181,2019-12-01,10385281085849.359375,57159997558.593750,18068.792039
182,2020-01-01,10818599331581.349609,59732000732.421883,18011.898478
183,2020-02-01,10690107201599.269531,59352001953.125000,17911.367519
184,2020-03-01,10822016666588.210938,59220001220.703125,18174.259445
185,2020-04-01,11510950903385.119141,63520001220.703125,18021.773744
186,2020-05-01,11871138513694.410156,65164001464.843750,18117.325896
187,2020-06-01,12254563334602.109375,66947998046.875000,18204.600126
188,2020-07-01,13415090636656.089844,74171997070.312500,17986.462771
189,2020-08-01,13447896552135.769531,73932000732.421875,18089.547718
190,2020-09-01,12900439650898.769531,70847998046.875000,18108.615637
191,2020-10-01,12831409650622.240234,70479998779.296875,18105.746131
192,2020-11-01,12136323209640.609375,66667999267.578125,18104.120932
193,2020-12-01,12938713636113.539062,71344000244.140625,18035.671664
194,2021-01-01,12625686250071.289062,69044000244.140625,18186.435035
195,2021-02-01,11810993083849.539062,64723999023.437508,18148.243715
196,2021-03-01,11713257803239.509766,63984002685.546883,18206.541185
197,2021-04-01,12078912648973.599609,66264001464.843750,18128.468523
198,2021-05-01,13002959701104.580078,71352001953.125000,18123.678867
199,2021-06-01,12102833994021.619141,66252001953.125000,18167.876649
200,2021-07-01,12388522700008.990234,67928002929.687508,18137.725482
201,2021-08-01,12404926074903.980469,67876000976.562492,18175.864660
202,2021-09-01,11996896608808.939453,65688000488.281250,18163.452259
203,2021-10-01,12186216634464.900391,66659997558.593750,18181.153737
204,2021-11-01,12121970569473.859375,66200000000.000000,18211.133791
205,2021-12-01,12490359450075.490234,68384002685.546883,18165.031235
206,2022-01-01,12268232674629.550781,67235998535.156250,18146.524097
207,2022-02-01,12981772390924.109375,71352001953.125000,18093.984802
208,2022-03-01,13322138457021.240234,72259997558.593750,18336.394834
209,2022-04-01,13049435790922.009766,70764001464.843750,18340.782772
210,2022-05-01,12594246100559.929688,68455999755.859375,18297.578219
211,2022-06-01,12330428004892.359375,67384002685.546883,18198.746755
212,2022-07-01,12048839934051.160156,65640002441.406250,18255.940716
213,2022-08-01,11706423133225.789062,63708001708.984375,18275.122150
214,2022-09-01,11361955597672.179688,61867999267.578125,18264.834377
215,2022-10-01,11180836842308.570312,60764001464.843750,18300.428828
216,2022-11-01,11933333843957.210938,65923999023.437508,18001.653451
217,2022-12-01,12437048690244.349609,67855999755.859375,18228.591038
218,2023-01-01,13187495791475.050781,71764001464.843750,18276.199100
219,2023-02-01,12499928154956.759766,67911999511.718750,18306.067035
220,2023-03-01,13457465257017.039062,73288000488.281250,18262.440191
221,2023-04-01,13601676627444.500000,73920001220.703125,18300.536259
222,2023-05-01,13422608606809.119141,72928002929.687500,18305.287499
223,2023-06-01,13130084396497.740234,71308001708.984375,18313.199195
224,2023-07-01,13467717262037.619141,72940002441.406250,18364.103114
225,2023-08-01,13246957086870.310547,72008001708.984375,18296.507017
226,2023-09-01,12631153485496.089844,68579998779.296883,18318.130228
227,2023-10-01,13568186577515.210938,73635998535.156250,18326.023748
228,2023-11-01,13929740788103.119141,75500000000.000000,18349.987799
229,2023-12-01,14095822768850.359375,76467999267.578110,18333.623089
230,2024-01-01,14000137388658.259766,75379998779.296860,18472.748229
231,2024-02-01,13981684113345.339844,75723999023.437500,18364.006515
232,2024-03-01,15155196620977.140625,82288000488.281250,18317.261971
233,2024-04-01,15660962201992.509766,84747998046.875015,18379.447967
234,2024-05-01,15876254307424.730469,86120001220.703125,18335.037253
235,2024-06-01,15909061057214.710938,86003997802.734375,18398.048304
236,2024-07-01,16584326788294.490234,90620001220.703125,18200.956262
237,2024-08-01,17044300413942.050781,92515997314.453125,18323.084557
238,2024-09-01,18016874290618.699219,97223999023.437500,18431.303456
239,2024-10-01,18715377232296.878906,101403997802.734360,18356.251862
240,2024-11-01,18159718226457.230469,98235998535.156235,18385.808153
241,2024-12-01,17969714066351.660156,96852001953.124985,18453.786916
242,2025-01-01,19222509413590.878906,103423999023.437500,18486.120818
243,2025-02-01,19388592228648.421875,105307995605.468765,18311.320163
244,2025-03-01,21343307852572.679688,115256005859.375000,18418.174123
245,2025-04-01,22588584395348.570312,121507995605.468765,18490.204112
246,2025-05-01,22478545540679.410156,121440002441.406235,18410.000897
247,2025-06-01,22516136225754.878906,121931994628.906235,18366.142783
248,2025-07-01,22507934955462.539062,121183996582.031235,18473.355881
249,2025-08-01,23741592892939.210938,127228002929.687500,18560.666163
250,2025-09-01,26250600922424.511719,142188000488.281250,18361.896104
251,2025-10-01,27217022594916.441406,147247998046.875000,18383.798052
252,2025-11-01,28830687183983.648438,155152001953.125000,18482.220546
253,2025-12-01,29564049278800.671875,158523999023.437500,18549.573226
254,2026-01-01,32217950310232.121094,177980004882.812500,18002.005521
255,2026-02-01,35748741506768.726562,193500000000.000000,18374.801812
256,2026-03-01,31764813023218.890625,172116003417.968750,18355.467471
257,2026-04-01,31539953047215.710938,169464001464.843750,18511.594660
258,2026-05-01,31169512597575.531250,166847998046.875000,18581.382433
259,2026-06-01,27495193330750.769531,147352001953.125000,18559.531575
260,2026-07-01,28266146110643.250000,149923999023.437500,18753.650046
